NMDS1,NMDS2,plant.year,year,age
0.474303762,0.142716397,2016,2020,4
-1.569277841,-0.016354163,2016,2020,4
1.11177548,-0.025623865,2016,2020,4
3.234625247,0.390914855,2016,2020,4
-1.828924164,0.077649367,2016,2020,4
4.184552752,0.306197412,2016,2020,4
0.151376048,0.050018688,2016,2020,4
-1.051479161,-0.144399102,2016,2020,4
-0.968737515,-0.096820309,2016,2020,4
-2.355140014,0.027680863,2016,2020,4
3.203380059,0.301974798,2016,2020,4
-2.905949676,0.008071326,2016,2020,4
1.885543557,0.098957406,2016,2020,4
1.797188928,0.062469312,2016,2020,4
3.817573676,0.319987159,2016,2020,4
2.706427363,0.384358782,2016,2020,4
0.345454525,0.206108018,2016,2020,4
-3.061811675,0.100023595,2016,2020,4
-0.048582608,0.119450956,2016,2020,4
